School,Education region,Financial year,Type 1,Description 1,Type 2,Description 2,Type 3,Description 3,Longitude,Latitude
Pongakawa School,"Bay of Plenty, Waiariki",2021,Highlighted matter,We drew attention to disclosures outlining that the school had continued to set funds aside in line with its previous painting plan even though there was uncertainty about how the Ministry of Education’s Weathertightness project will affect the school and the property maintenance it is obliged to carry out.,,,,,176.476931,-37.837505
Kaikorai School,"Otago, Southland",2021,Highlighted matter,We drew attention to disclosures outlining that the school has not recognised a provision of cyclical maitenance. The school could not reliably estimate the maintenance required on the school's buildings bcause construction under the Schools Rebuild Programme is currently in progress,,,,,170.491007,-45.865445
Te Kura Kaupapa Maori o Te Kura Kokiri,"Bay of Plenty, Waiariki",2018,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. We also drew attention to disclosures outlining that the school breached the law by failing to submit the audited financial statements to the Ministry of Education by 31  May 2019.,,,,,176.283679,-37.723435
St Joseph's School (Grey Lynn),Tāmaki Herenga Manawa,2021,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due,,,,,174.739932,-36.867102
Te Kura Kaupapa o Te Puaha O Waikato School,Waikato,2020,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.724639,-37.392886
Cambridge East School,Waikato,2021,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,175.471247,-37.884048
Verran Primary School,Tāmaki Herenga Tāngata,2021,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.713393,-36.802719
Fraser High School,Waikato,2021,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,175.244737,-37.784283
Nelson College,"Nelson, Marlborough, West Coast",2021,Highlighted matter,"We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. We highlighted that the school failed to comply with the Education and Training Act 2020 because it did not get permission from the Ministers of Education and Finance before it borrowed money. The amount to be repaid, in total, is more than 10% of the school's operational activities grant for the year. ",,,,,173.275569,-41.285573
Matipo Road School,Tāmaki Herenga Tāngata,2021,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.641103,-36.837366
Liston College,Tāmaki Herenga Tāngata,2021,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.628205,-36.883656
Massey High School,Tāmaki Herenga Tāngata,2019,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.601693,-36.84188
Liston College,Tāmaki Herenga Tāngata,2019,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.628205,-36.883656
Mercury Bay Area School,Waikato,2021,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,175.698102,-36.841247
Laingholm School,Tāmaki Herenga Tāngata,2019,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.627211,-36.962451
